signature;translation;speech part;transcription;synonyms;sentences;groups
pat;"потрепать; поглаживать";verb;;stroke;Dumbledore reached out and patted her on the shoulder. | He was all through combing his hair and patting it and all, so he left. | The only thing old Phoebe liked was when Hamlet patted this dog on the head.;THE CATCHER IN THE RYE (book)
patch;"латать; ставить заплаты";verb;;;This hat was patched and frayed and extremely dirty.;HARRY POTTER AND THE SORCERER'S STONE (book)
paw;бить копытом (о лошади);verb;;;The horse pawed the ground.[Конь бил копытами.];animals, REPEATING
peculiar;"1) специфический, особенный, своеобразный, отдельный; 2) странный, эксцентричный, необычный";adjective;;odd, queer, singular, strange;It was a childish thing to say, but I was feeling so damn peculiar.;traits
pedigree;генеалогия, родословная;noun;ˈpedɪgriː;;He breeds pedigree poodles.;LANGUAGE COURSES
peek;"заглядывать; взглянуть украдкой";verb;;glance;Holden, don't you even peek at me. I'm a mess.;glance, THE CATCHER IN THE RYE (book), самые сложные слова
peer;"вглядываться; всматриваться";verb;;;Indeed, many become extremely uneasy if unable to contact their peers countless times each day, fearing they are becoming socially isolated. | While Mrs. Dursley was in the bathroom, Mr. Dursley crept to the bedroom window and peered down into the front garden.;glance, HARRY POTTER AND THE SORCERER'S STONE (book)
peer;"ровня, равный (по положению, способностям); ровесник, сверстник";noun;pɪə;;;LANGUAGE COURSES, relationship
pelt;"забрасывать (камнями); обстреливать";verb;;rake;He pelts Dumbledore with owls every morning, asking for advice. | Next moment, thirty or forty letters came pelting out of the fireplace like bullets.;arms, HARRY POTTER AND THE SORCERER'S STONE (book)
people person;someone who is happier or more skilled at dealing with people rather than things or concepts;noun;;;Berg was an outgoing young man and a people person who always had something good to say about someone, said Devin Deslatte, a friend.;LANGUAGE COURSES, traits, work
perceive;"1) воспринимать, понимать, осознавать (become conscious of); 2) ощущать, различать, чувствовать (to become aware of through the senses)";verb;pəˈsiːv;;They perceived themselves finite and small.;REPEATING, самые сложные слова
perception;восприятие, ощущение;noun;;;One bedrock principle of any service policy is the perception of fairness.;INFORMATION TECHNOLOGIES
perch;"усесться; взгромоздиться; забраться";verb;;;Perched on top of the rock was the most miserable little shack you could imagine. | Twelve feet tall, its skin was a dull, granite gray, its great lumpy body like a boulder with its small bald head perched on top like a coconut.;HARRY POTTER AND THE SORCERER'S STONE (book)
perform;"1) исполнять, выполнять (carry out an action); 2) выступать; представлять";verb;;execute;Then Hermione had performed a tricky little charm so that the paint flashed different colors.;
perilous;опасный, рискованный;adjective;;dangerous, risky;;сложные слова
perish;"погибать; умирать";verb;;die, pass away;;medicine
permit;"1) позволять, разрешать, давать возможность; 2) допускать";verb;;allow, let;;
perpetrator;"преступник; нарушитель";noun;;criminal, culprit, offender;;violence
persimmon;хурма;noun;pəˈsɪmən;;One way to consume very ripe persimmons, which can have the texture of pudding, is to remove the top leaf with a paring knife and scoop out the flesh with a spoon.;plants, REPEATING
persist;"1) упорствовать; упрямиться; 2) настоять; 3) настойчиво продолжать";verb;;insist;;
personality;индивидуальность, личность;noun;;;It is the interaction between these contrasting personalities that provides most of the humour in the show.;LANGUAGE COURSES
personification;"персонификация, олицетворение; воплощение";noun;;embodiment;She played a character who was the personification of evil.;appearance, LANGUAGE COURSES
persuade;"1) убеждать, уверять; 2) уговаривать, упросить";verb;pərˈsweɪd;convince;;
pervert;"извращенный человек; извращенец";noun;;;I didn't know then that the goddam hotel was full of perverts and morons. | I figured it was some perverty bum that'd sneaked in the school late at night to take a leak or something and then wrote it on the wall.;odd people, THE CATCHER IN THE RYE (book), самые сложные слова
petrify;превращать(ся) в камень, окаменевать;verb;;;The cub was in a frenzy of terror, yet he lay without movement or sound, frozen, petrified into immobility, to all appearances dead.;WHITE FANG (book)
pewter;сплав на оловянной основе;noun;;;Cauldrons - All Sizes - Copper, Brass, Pewter, Silver - Self-Stirring - Collapsible, said a sign hanging over them.;HARRY POTTER AND THE SORCERER'S STONE (book)
philistine;мещанин, обыватель, филистер (человек с узким, ограниченным умственным кругозором и ханжеским поведением);noun;ˈfɪlɪstaɪn;;I wouldn't have expected them to enjoy a film of that quality anyway - they're just a bunch of philistines!;LANGUAGE COURSES
phony;"поддельный, фальшивый; ложный";adjective;;mock;I should've given her a phony name, but I didn't think of it. | She probably knew what a phony slob he was. | Then, when she was all done whispering and being cute as hell, she'd sing some dopey song, half in English and half in French, and drive all the phonies in the place mad with joy.;THE CATCHER IN THE RYE (book), traits
physical;медосмотр;noun;;;He and I were sitting in the first two chairs outside the goddam infirmary, the day school opened, waiting for our physicals, and we sort of struck up this conversation about tennis.;medicine, THE CATCHER IN THE RYE (book)
pick;"1) выбирать, отбирать; собирать; 2) рвать, срывать; 3) ковырять, подковыривать";verb;;choose, pick out, select;He also started picking his nose. | We picked our way through small groves of red-berried mountain ash and larger stands of oak.;THE CATCHER IN THE RYE (book)
